Period,Period_Type,Year,Quarter,Gross Margin,Net Profit Margin,ROA,ROE, Current Ratio ,Debt-to-Equity,Debt-to-Assets,Company,,,,,,,,,,
3/31/2016,Quarterly,2016,1, 0.334 , 0.084 , 0.010 , 0.022 , 1.193 , 1.19 , 0.54 ,Almarai,,,,,,,,,,
3/31/2016,Quarterly,2016,1, 0.198 , 0.018 , 0.004 , 0.010 , 0.891 , 1.41 , 0.59 ,Savola,,,,,,,,,,
3/31/2016,Quarterly,2016,1, 0.398 , 0.050 , 0.007 , 0.018 , 0.916 , 1.83 , 0.65 ,NADEC,,,,,,,,,,
6/30/2016,Quarterly,2016,2, 0.187 , 0.037 , 0.010 , 0.024 , 0.876 , 1.43 , 0.59 ,Savola,,,,,,,,,,
6/30/2016,Quarterly,2016,2, 0.387 , 0.167 , 0.023 , 0.052 , 1.138 , 1.22 , 0.55 ,Almarai,,,,,,,,,,
6/30/2016,Quarterly,2016,2, 0.384 , 0.056 , 0.009 , 0.026 , 0.925 , 1.95 , 0.66 ,NADEC,,,,,,,,,,
9/30/2016,Quarterly,2016,3, 0.421 , 0.191 , 0.023 , 0.050 , 1.157 , 1.16 , 0.54 ,Almarai,,,,,,,,,,
9/30/2016,Quarterly,2016,3, 0.192 , 0.035 , 0.008 , 0.020 , 0.793 , 1.43 , 0.59 ,Savola,,,,,,,,,,
9/30/2016,Quarterly,2016,3, 0.370 , 0.052 , 0.007 , 0.020 , 0.875 , 1.85 , 0.65 ,NADEC,,,,,,,,,,
2016,Annual,2016,0, 0.177 ,-0.016 ,-0.016 ,-0.045 , 0.812 , 1.73 , 0.63 ,Savola,,,,,,,,,,
2016,Annual,2016,0, 0.385 , 0.150 , 0.074 , 0.160 , 1.095 , 1.17 , 0.54 ,Almarai,,,,,,,,,,
2016,Annual,2016,0, 0.385 , 0.043 , 0.023 , 0.066 , 0.774 , 1.85 , 0.65 ,NADEC,,,,,,,,,,
3/31/2017,Quarterly,2017,1, 0.348 , 0.095 , 0.011 , 0.025 , 0.924 , 1.27 , 0.56 ,Almarai,,,,,,,,,,
3/31/2017,Quarterly,2017,1, 0.180 , 0.005 , 0.001 , 0.003 , 0.736 , 1.67 , 0.63 ,Savola,,,,,,,,,,
3/31/2017,Quarterly,2017,1, 0.380 , 0.009 , 0.001 , 0.003 , 0.843 , 1.90 , 0.66 ,NADEC,,,,,,,,,,
6/30/2017,Quarterly,2017,2, 0.171 , 0.041 , 0.011 , 0.029 , 0.744 , 1.65 , 0.62 ,Savola,,,,,,,,,,
6/30/2017,Quarterly,2017,2, 0.414 , 0.177 , 0.022 , 0.048 , 0.989 , 1.20 , 0.55 ,Almarai,,,,,,,,,,
6/30/2017,Quarterly,2017,2, 0.351 , 0.045 , 0.006 , 0.018 , 0.804 , 2.00 , 0.67 ,NADEC,,,,,,,,,,
9/30/2017,Quarterly,2017,3, 0.449 , 0.197 , 0.022 , 0.046 , 1.081 , 1.14 , 0.53 ,Almarai,,,,,,,,,,
9/30/2017,Quarterly,2017,3, 0.188 , 0.154 , 0.036 , 0.085 , 0.806 , 1.37 , 0.58 ,Savola,,,,,,,,,,
9/30/2017,Quarterly,2017,3, 0.351 , 0.034 , 0.004 , 0.012 , 0.859 , 1.89 , 0.65 ,NADEC,,,,,,,,,,
2017,Annual,2017,0, 0.184 , 0.047 , 0.048 , 0.115 , 0.773 , 1.40 , 0.58 ,Savola,,,,,,,,,,
2017,Annual,2017,0, 0.401 , 0.155 , 0.068 , 0.145 , 1.180 , 1.14 , 0.53 ,Almarai,,,,,,,,,,
2017,Annual,2017,0, 0.360 , 0.020 , 0.010 , 0.028 , 0.759 , 1.87 , 0.65 ,NADEC,,,,,,,,,,
3/31/2018,Quarterly,2018,1, 0.388 , 0.105 , 0.011 , 0.022 , 1.359 , 1.08 , 0.52 ,Almarai,,,,,,,,,,
3/31/2018,Quarterly,2018,1, 0.178 ,-0.016 ,-0.003 ,-0.009 , 0.762 , 1.52 , 0.60 ,Savola,,,,,,,,,,
3/31/2018,Quarterly,2018,1, 0.343 ,-0.011 ,-0.001 ,-0.004 , 0.760 , 1.95 , 0.66 ,NADEC,,,,,,,,,,
6/30/2018,Quarterly,2018,2, 0.174 , 0.028 , 0.007 , 0.019 , 0.710 , 1.59 , 0.61 ,Savola,,,,,,,,,,
6/30/2018,Quarterly,2018,2, 0.394 , 0.181 , 0.021 , 0.044 , 1.035 , 1.08 , 0.52 ,Almarai,,,,,,,,,,
6/30/2018,Quarterly,2018,2, 0.379 , 0.035 , 0.005 , 0.014 , 0.737 , 1.92 , 0.66 ,NADEC,,,,,,,,,,
9/30/2018,Quarterly,2018,3, 0.422 , 0.193 , 0.020 , 0.046 , 1.170 , 1.28 , 0.56 ,Almarai,,,,,,,,,,
9/30/2018,Quarterly,2018,3, 0.179 ,-0.007 ,-0.002 ,-0.004 , 0.681 , 1.68 , 0.63 ,Savola,,,,,,,,,,
9/30/2018,Quarterly,2018,3, 0.385 , 0.061 , 0.008 , 0.024 , 0.728 , 1.89 , 0.65 ,NADEC,,,,,,,,,,
2018,Annual,2018,0,17.87%,-0.021 ,-0.021 ,-0.057 , 0.701 , 1.77 , 0.64 ,Savola,,,,,,,,,,
2018,Annual,2018,0,39.29%, 0.148 , 0.061 , 0.139 , 1.286 , 1.27 , 0.56 ,Almarai,,,,,,,,,,
2018,Annual,2018,0,36.98%, 0.001 , 0.0004 , 0.0012 , 0.648 , 1.74 , 0.64 ,NADEC,,,,,,,,,,
3/31/2019,Quarterly,2019,1, 0.352 , 0.102 , 0.010 , 0.023 , 1.300 , 1.18 , 0.54 ,Almarai,,,,,,,,,,
3/31/2019,Quarterly,2019,1, 0.198 , 0.009 , 0.002 , 0.006 , 0.644 , 2.54 , 0.72 ,Savola,,,,,,,,,,
3/31/2019,Quarterly,2019,1, 0.383 ,-0.007 ,-0.001 ,-0.003 , 0.768 , 1.90 , 0.66 ,NADEC,,,,,,,,,,
6/30/2019,Quarterly,2019,2, 0.200 , 0.026 , 0.005 , 0.018 , 0.619 , 2.34 , 0.70 ,Savola,,,,,,,,,,
6/30/2019,Quarterly,2019,2, 0.389 , 0.155 , 0.018 , 0.040 , 1.136 , 1.25 , 0.55 ,Almarai,,,,,,,,,,
6/30/2019,Quarterly,2019,2, 0.377 , 0.012 , 0.002 , 0.005 , 0.743 , 1.84 , 0.65 ,NADEC,,,,,,,,,,
9/30/2019,Quarterly,2019,3, 0.404 , 0.166 , 0.018 , 0.039 , 1.289 , 1.22 , 0.55 ,Almarai,,,,,,,,,,
9/30/2019,Quarterly,2019,3, 0.211 , 0.053 , 0.010 , 0.033 , 0.676 , 2.26 , 0.69 ,Savola,,,,,,,,,,
9/30/2019,Quarterly,2019,3, 0.377 , 0.085 , 0.012 , 0.033 , 0.957 , 1.73 , 0.63 ,NADEC,,,,,,,,,,
2019,Annual,2019,0, 0.210 , 0.031 , 0.025 , 0.077 , 0.674 , 2.12 , 0.68 ,Savola,,,,,,,,,,
2019,Annual,2019,0, 0.374 , 0.126 , 0.054 , 0.118 , 1.280 , 1.17 , 0.54 ,Almarai,,,,,,,,,,
2019,Annual,2019,0, 0.380 ,-0.003 ,-0.002 ,-0.005 , 0.890 , 1.74 , 0.63 ,NADEC,,,,,,,,,,
3/31/2020,Quarterly,2020,1, 0.349 , 0.102 , 0.011 , 0.024 , 1.461 , 1.14 , 0.53 ,Almarai,,,,,,,,,,
3/31/2020,Quarterly,2020,1, 0.200 , 0.032 , 0.007 , 0.023 , 0.749 , 2.30 , 0.70 ,Savola,,,,,,,,,,
3/31/2020,Quarterly,2020,1, 0.362 , 0.033 , 0.004 , 0.012 , 0.918 , 1.81 , 0.64 ,NADEC,,,,,,,,,,
6/30/2020,Quarterly,2020,2, 0.213 , 0.072 , 0.016 , 0.050 , 0.715 , 2.10 , 0.68 ,Savola,,,,,,,,,,
6/30/2020,Quarterly,2020,2, 0.376 , 0.152 , 0.019 , 0.041 , 1.414 , 1.18 , 0.54 ,Almarai,,,,,,,,,,
6/30/2020,Quarterly,2020,2, 0.348 , 0.216 , 0.032 , 0.083 , 0.887 , 1.62 , 0.62 ,NADEC,,,,,,,,,,
9/30/2020,Quarterly,2020,3, 0.392 , 0.159 , 0.018 , 0.039 , 1.566 , 1.11 , 0.53 ,Almarai,,,,,,,,,,
9/30/2020,Quarterly,2020,3, 0.232 , 0.071 , 0.012 , 0.036 , 0.720 , 1.99 , 0.67 ,Savola,,,,,,,,,,
9/30/2020,Quarterly,2020,3, 0.311 ,-0.076 ,-0.011 ,-0.029 , 0.878 , 1.60 , 0.61 ,NADEC,,,,,,,,,,
2020,Annual,2020,0, 0.214 , 0.047 , 0.038 , 0.111 , 0.790 , 1.95 , 0.66 ,Savola,,,,,,,,,,
2020,Annual,2020,0, 0.360 , 0.126 , 0.060 , 0.119 , 1.559 , 0.99 , 0.50 ,Almarai,,,,,,,,,,
2020,Annual,2020,0, 0.315 , 0.015 , 0.009 , 0.024 , 0.837 , 1.62 , 0.62 ,NADEC,,,,,,,,,,
3/31/2021,Quarterly,2021,1, 0.339 , 0.107 , 0.012 , 0.023 , 1.586 , 0.97 , 0.49 ,Almarai,,,,,,,,,,
3/31/2021,Quarterly,2021,1, 0.204 , 0.032 , 0.007 , 0.020 , 0.844 , 2.08 , 0.68 ,Savola,,,,,,,,,,
3/31/2021,Quarterly,2021,1, 0.322 , 0.012 , 0.002 , 0.004 , 0.847 , 1.67 , 0.63 ,NADEC,,,,,,,,,,
6/30/2021,Quarterly,2021,2, 0.189 , 0.042 , 0.009 , 0.027 , 0.852 , 2.03 , 0.67 ,Savola,,,,,,,,,,
6/30/2021,Quarterly,2021,2, 0.338 , 0.122 , 0.015 , 0.031 , 1.506 , 1.04 , 0.51 ,Almarai,,,,,,,,,,
6/30/2021,Quarterly,2021,2, 0.305 ,-0.032 ,-0.004 ,-0.012 , 1.037 , 1.75 , 0.64 ,NADEC,,,,,,,,,,
9/30/2021,Quarterly,2021,3, 0.324 , 0.104 , 0.013 , 0.025 , 1.138 , 0.95 , 0.49 ,Almarai,,,,,,,,,,
9/30/2021,Quarterly,2021,3, 0.169 ,-0.006 ,-0.001 ,-0.004 , 0.854 , 1.97 , 0.66 ,Savola,,,,,,,,,,
9/30/2021,Quarterly,2021,3, 0.296 , 0.005 , 0.001 , 0.002 , 1.033 , 1.82 , 0.64 ,NADEC,,,,,,,,,,
2021,Annual,2021,0, 0.182 , 0.037 , 0.032 , 0.101 , 0.840 , 2.14 , 0.68 ,Savola,,,,,,,,,,
2021,Annual,2021,0, 0.319 , 0.100 , 0.050 , 0.095 , 1.072 , 0.91 , 0.48 ,Almarai,,,,,,,,,,
2021,Annual,2021,0, 0.278 ,-0.125 ,-0.073 ,-0.238 , 0.861 , 2.25 , 0.69 ,NADEC,,,,,,,,,,
3/31/2022,Quarterly,2022,1, 0.296 , 0.094 , 0.013 , 0.025 , 1.121 , 0.93 , 0.48 ,Almarai,,,,,,,,,,
3/31/2022,Quarterly,2022,1, 0.172 , 0.019 , 0.005 , 0.015 , 0.856 , 2.23 , 0.69 ,Savola,,,,,,,,,,
3/31/2022,Quarterly,2022,1, 0.312 , 0.025 , 0.004 , 0.012 , 0.866 , 2.43 , 0.71 ,NADEC,,,,,,,,,,
6/30/2022,Quarterly,2022,2, 0.181 , 0.069 , 0.016 , 0.051 , 0.875 , 2.26 , 0.69 ,Savola,,,,,,,,,,
6/30/2022,Quarterly,2022,2, 0.319 , 0.114 , 0.016 , 0.032 , 1.162 , 1.03 , 0.51 ,Almarai,,,,,,,,,,
6/30/2022,Quarterly,2022,2, 0.270 , 0.039 , 0.007 , 0.022 , 0.848 , 2.23 , 0.69 ,NADEC,,,,,,,,,,
9/30/2022,Quarterly,2022,3, 0.312 , 0.100 , 0.015 , 0.029 , 1.529 , 0.96 , 0.49 ,Almarai,,,,,,,,,,
9/30/2022,Quarterly,2022,3, 0.162 , 0.049 , 0.011 , 0.037 , 0.866 , 2.21 , 0.69 ,Savola,,,,,,,,,,
9/30/2022,Quarterly,2022,3, 0.314 , 0.039 , 0.007 , 0.022 , 0.783 , 2.01 , 0.67 ,NADEC,,,,,,,,,,
2022,Annual,2022,0, 0.174 , 0.010 , 0.010 , 0.031 , 0.812 , 2.17 , 0.68 ,Savola,,,,,,,,,,
2022,Annual,2022,0, 0.300 , 0.095 , 0.055 , 0.105 , 1.599 , 0.89 , 0.47 ,Almarai,,,,,,,,,,
2022,Annual,2022,0, 0.300 , 0.035 , 0.025 , 0.074 , 0.776 , 1.95 , 0.66 ,NADEC,,,,,,,,,,
3/31/2023,Quarterly,2023,1, 0.319 , 0.126 , 0.019 , 0.037 , 1.146 , 0.91 , 0.48 ,Almarai,,,,,,,,,,
3/31/2023,Quarterly,2023,1, 0.192 , 0.038 , 0.010 , 0.031 , 0.821 , 2.17 , 0.68 ,Savola,,,,,,,,,,
3/31/2023,Quarterly,2023,1, 0.371 , 0.050 , 0.010 , 0.028 , 0.793 , 1.94 , 0.66 ,NADEC,,,,,,,,,,
6/30/2023,Quarterly,2023,2, 0.205 , 0.047 , 0.010 , 0.031 , 0.785 , 2.22 , 0.69 ,Savola,,,,,,,,,,
6/30/2023,Quarterly,2023,2, 0.327 , 0.116 , 0.017 , 0.033 , 1.123 , 1.00 , 0.50 ,Almarai,,,,,,,,,,
6/30/2023,Quarterly,2023,2, 0.376 , 0.083 , 0.016 , 0.047 , 0.788 , 1.86 , 0.65 ,NADEC,,,,,,,,,,
9/30/2023,Quarterly,2023,3, 0.306 , 0.101 , 0.014 , 0.028 , 1.461 , 1.05 , 0.51 ,Almarai,,,,,,,,,,
9/30/2023,Quarterly,2023,3, 0.206 , 0.031 , 0.006 , 0.021 , 0.851 , 2.25 , 0.69 ,Savola,,,,,,,,,,
9/30/2023,Quarterly,2023,3, 0.376 , 0.087 , 0.019 , 0.051 , 0.800 , 1.71 , 0.63 ,NADEC,,,,,,,,,,
2023,Annual,2023,0, 0.203 , 0.045 , 0.040 , 0.126 , 0.843 , 2.14 , 0.68 ,Savola,,,,,,,,,,
2023,Annual,2023,0, 0.309 , 0.105 , 0.057 , 0.115 , 1.399 , 1.03 , 0.51 ,Almarai,,,,,,,,,,
2023,Annual,2023,0, 0.370 , 0.094 , 0.059 , 0.084 , 1.959 , 0.42 , 0.30 ,NADEC,,,,,,,,,,
